OTU ID	sample-1	sample-2	sample-3	sample-4	sample-5	sample-6	sample-7	sample-8	sample-9	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24	sample-25	sample-26	sample-27	sample-28	sample-29	sample-30	sample-31	sample-32	sample-33	sample-34	sample-35	sample-36	sample-37	sample-38	sample-39	sample-40	sample-41	sample-42	sample-43	sample-44	sample-45	sample-46	sample-47	sample-48	sample-49	sample-50	sample-51	sample-52	sample-53	sample-54	sample-55	sample-56	sample-57	sample-58	sample-59	sample-60	sample-61	sample-62	sample-63	sample-64	sample-65	sample-66	sample-67	sample-68	sample-69	sample-70	sample-71	sample-72	sample-73	sample-74	sample-75	sample-76	sample-77	sample-78	sample-79	sample-80	sample-81	sample-82	sample-83	sample-84	sample-85	sample-86	sample-87	sample-88	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99	sample-100	sample-101	sample-102	sample-103	sample-104	sample-105	sample-106	sample-107	sample-108	sample-109	sample-110	sample-111	sample-112	sample-113	sample-114	sample-115	sample-116	sample-117	sample-118	sample-119	sample-120
4108c7a660041a77c24c0ba6cd266588	63.0	37.0	2.0	0.0	28.0	3.0	9.0	23.0	22.0	6.0	5.0	457.0	5.0	0.0	0.0	18.0	74.0	3.0	27.0	0.0	6.0	9.0	0.0	74.0	0.0	9.0	8.0	8.0	79.0	20.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	21.0	40.0	6.0	2.0	138.0	1.0	0.0	3.0	1.0	0.0	0.0	3.0	2.0	0.0	34.0	2.0	9.0	0.0	0.0	2.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e0a8c06187aea916106ef28ef0d954a3	32.0	8.0	1.0	2.0	3.0	0.0	0.0	0.0	9.0	11.0	21.0	0.0	0.0	77.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	14.0	7.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e61b03094195a0b0d32d477b8e40b246	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50c96c758aace57972c19939c70f89f3	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84c7e05e2c72b8b9145bd06f415adeee	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38e438f46d6de470cbb612fc3f2f6cca	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2055.0	1885.0	2082.0	399.0	1644.0	304.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	882.0	2367.0	1499.0	5420.0	6377.0	672.0	4980.0	3473.0	12338.0	1315.0	7824.0	5033.0	3813.0	9880.0	8389.0	2897.0	11086.0	944.0	7731.0	5720.0	3711.0	1470.0	10037.0	4128.0	1173.0	8586.0	2440.0	1757.0	3169.0	1122.0
0ca6a0b49b9fbeafafad38c419e35ae6	6.0	0.0	0.0	3.0	0.0	2.0	3.0	0.0	2.0	12.0	0.0	0.0	0.0	0.0	6.0	7.0	7.0	7.0	22.0	0.0	4.0	73.0	7.0	19.0	7.0	9.0	8.0	27.0	8.0	11.0	0.0	2.0	1.0	5.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	1.0	15.0	8.0	8.0	15.0	15.0	2.0	27.0	27.0	71.0	5.0	4.0	14.0	13.0	5.0	8.0	12.0	0.0	3.0	5.0	8.0	0.0	0.0	5.0	0.0	11.0	5.0	0.0	9.0	8.0	3.0	20.0	6.0	11.0	7.0	20.0	0.0	16.0	9.0	4.0	4.0	30.0	17.0	4.0	17.0	14.0	6.0	4.0	7.0	20.0	33.0	17.0	48.0	40.0	35.0	33.0	42.0	19.0	10.0	11.0	8.0	11.0	26.0	28.0	9.0	113.0	32.0	6.0	27.0	16.0
5b77e9bbece2a30862884c7d6c913b31	6.0	3.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	0.0	38.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
448fa960992c1867053b27f06c46dd44	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	22.0	22.0	151.0	70.0	132.0	156.0	273.0	99.0	31.0	166.0	140.0	58.0	153.0	69.0	819.0	160.0	294.0	61.0	850.0	216.0	146.0	73.0	68.0	103.0	106.0	36.0	0.0	1299.0	5.0	8.0	12.0	10.0	14.0	7.0	81.0	7.0	22.0	17.0	4.0	16.0	43.0	14.0	11.0	9.0	45.0	17.0	3.0	13.0	15.0	6.0	10.0	25.0	7.0	8.0	7.0	17.0	43.0	32.0	31.0	46.0	25.0	12.0	59.0	45.0	78.0	33.0	38.0	19.0	40.0	132.0	281.0	111.0	152.0	140.0	638.0	174.0	171.0	117.0	143.0	54.0	261.0	50.0	132.0	41.0	164.0	67.0	157.0	324.0	146.0
27c1975369ad679cd189ddc8d8aedbdc	5.0	20.0	35.0	19.0	82.0	81.0	109.0	6.0	24.0	48.0	35.0	36.0	13.0	17.0	119.0	34.0	81.0	95.0	35.0	7.0	65.0	196.0	31.0	152.0	32.0	71.0	110.0	175.0	523.0	263.0	13.0	26.0	29.0	41.0	37.0	21.0	38.0	36.0	58.0	26.0	59.0	43.0	12.0	12.0	12.0	18.0	17.0	23.0	106.0	21.0	40.0	54.0	124.0	145.0	81.0	223.0	34.0	215.0	842.0	115.0	34.0	122.0	37.0	96.0	70.0	39.0	112.0	126.0	45.0	372.0	56.0	36.0	24.0	52.0	30.0	170.0	44.0	24.0	65.0	82.0	85.0	71.0	41.0	173.0	101.0	108.0	35.0	118.0	54.0	71.0	99.0	67.0	78.0	26.0	52.0	55.0	30.0	42.0	28.0	102.0	104.0	89.0	38.0	80.0	93.0	73.0	84.0	0.0	28.0	50.0	0.0	70.0	68.0	51.0	90.0	73.0	90.0	27.0	68.0	62.0
